Duration,22 m 5 s
Start Time,Tue Dec 22 15:36:50 IST 2015
End Time,Tue Dec 22 15:59:00 IST 2015
Total Users,10
Total Hits,22200
Total Throughput,852285.55 Kb
Average Hits,16.75 hits/s
Average Throughput/s,643.23 kb/s
Testcases passed,100
Testcases failed,0
Testcases error rate,0
Step passed,2000
Step failed,0
Step error rate,0


Testcase name,User Count,User Percentage,Step name,Request name,Duration detail,Response Code,Success Count,Failure Count,Failure Rate(%),Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/35/small/spree_bag.jpeg?1450727470,,,100,0,0,,100,0.32,0.18,0.26,0.31,0.32,0.43,1.74,4.27,0,4.27,4.27,4.27,4.27,4.27
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.15,0.25,0.28,0.28,0.32,1.74,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.02,0.08,0,0,0.04,0.15,0.56,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/33/small/apache_baseball.png?1450727469,,,100,0,0,,100,0.31,0.14,0.26,0.28,0.28,0.32,1.26,8.99,0,8.99,8.99,8.99,8.99,8.99
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.12,0.25,0.28,0.28,0.31,1.26,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.05,0,0.01,0.01,0.01,0.49,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/36/small/spree_tote_front.jpeg?1450727471,,,100,0,0,,100,0.29,0.03,0.26,0.3,0.3,0.38,0.48,3.66,0,3.66,3.66,3.66,3.66,3.66
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.25,0.28,0.29,0.38,0.48,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0.01,0,0.01,0.01,0.02,0.06,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/38/small/spree_ringer_t.jpeg?1450727472,,,100,0,0,,100,0.3,0.12,0.26,0.29,0.29,0.29,1.12,2.66,0,2.66,2.66,2.66,2.66,2.66
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.08,0.25,0.28,0.28,0.29,1.01,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.02,0.09,0,0,0,0.01,0.81,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-f790e2c4168dc64d4a5814841899776880357feb9be7f36586c037358c370598.js,,,100,0,0,,100,1.23,0.1,1.13,1.24,1.27,1.46,1.87,181.45,0,181.45,181.45,181.45,181.45,181.45
"",,,,,Sending,,100,0,0,,0,0,0.01,0,0,0,0,0.12,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.33,0.18,0.28,0.31,0.31,0.34,1.56,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.9,0.16,0,0.94,0.95,0.96,1.58,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/29/small/ror_ringer.jpeg?1450727467,,,100,0,0,,100,0.29,0.03,0.26,0.29,0.3,0.32,0.52,3.17,0,3.17,3.17,3.17,3.17,3.17
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.25,0.28,0.29,0.32,0.52,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0,0,0,0,0.01,0.04,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/24/small/ror_baseball.jpeg?1450727465,,,100,0,0,,100,0.3,0.1,0.26,0.28,0.28,0.29,1.22,4.51,0,4.51,4.51,4.51,4.51,4.51
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.06,0.26,0.28,0.28,0.29,0.75,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.05,0,0,0,0.01,0.47,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/,,,100,0,0,,100,0.35,0.08,0.31,0.43,0.45,0.46,0.87,16.56,0,16.56,16.56,16.56,16.56,16.56
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0.01,0.02,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.34,0.06,0.3,0.36,0.37,0.42,0.71,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.02,0.06,0,0.02,0.02,0.1,0.56,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/logo/spree_50-1c7335be355d4672a35c5023956d0c883f254831f3e3dae3f2ca05976ceb5e50.png,,,100,0,0,,100,0.44,0.16,0.26,0.57,0.57,0.59,1.22,20.44,0,20.44,20.44,20.44,20.44,20.44
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.11,0.25,0.28,0.29,0.3,1.22,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.15,0.14,0,0.28,0.29,0.29,0.5,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/login,,,0,100,100,,100,,,,,,,,,,,,,,
"",,,,,,422,0,100,100,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-e70c003d770386e0f2030eab49eb59c274165cd14d16ffcb4f47a942198e8ee8.css,,,100,0,0,,100,0.93,0.22,0.8,0.9,0.92,0.95,2.17,123.7,0,123.7,123.7,123.7,123.7,123.7
"",,,,,Sending,,100,0,0,,0,0.28,0.08,0.25,0.28,0.28,0.3,1.03,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.04,0.26,0.28,0.28,0.29,0.66,0,0,0,0,0,0,0
