Duration,22 m 5 s
Start Time,Tue Dec 22 15:36:50 IST 2015
End Time,Tue Dec 22 15:59:00 IST 2015
Total Users,10
Total Hits,22200
Total Throughput,852285.55 Kb
Average Hits,16.75 hits/s
Average Throughput/s,643.23 kb/s
Testcases passed,100
Testcases failed,0
Testcases error rate,0
Step passed,2000
Step failed,0
Step error rate,0


Testcase name,User Count,User Percentage,Step name,Request name,Duration detail,Response Code,Success Count,Failure Count,Failure Rate(%),Total Step,Total Request,Average Duration (sec),Standard Deviation Duration (sec),Minimum Duration (sec),Duration 85 Percentile (sec),Duration 90 Percentile (sec),Duration 95 Percentile (sec),Maximum Duration (sec),Average Size (Kb),Standard Deviation Size (Kb),Minimum Size (Kb),Size 85 Percentile (Kb),Size 90 Percentile (Kb),Size 95 Percentile (Kb),Maximum Size (Kb)
"",,,,,Receiving,,100,0,0,,0,0.07,0.26,0,0.09,0.66,1.11,1.2,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/t/categories/bags,,,100,0,0,,100,0.48,0.29,0.36,0.67,1.25,1.31,2.02,12.74,0,12.74,12.74,12.74,12.74,12.74
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.43,0.22,0.35,0.5,0.5,0.58,1.73,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.05,0.15,0,0.06,0.22,0.75,0.88,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,,,100,0,0,,100,0.85,0.06,0.78,0.93,0.95,0.98,1.18,17.61,0,17.61,17.61,17.61,17.61,17.61
"",,,,,Sending,,100,0,0,,0,0.28,0.01,0.25,0.29,0.29,0.29,0.32,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.04,0.26,0.29,0.3,0.32,0.56,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.29,0.06,0,0.36,0.38,0.38,0.62,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart_link,,,100,0,0,,100,0.32,0.09,0.27,0.34,0.35,0.42,0.88,0.14,0,0.14,0.14,0.14,0.14,0.14
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.02,0.27,0.33,0.33,0.34,0.41,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.02,0.08,0,0.01,0.03,0.06,0.58,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/logo/spree_50-1c7335be355d4672a35c5023956d0c883f254831f3e3dae3f2ca05976ceb5e50.png,,,100,0,0,,100,0.49,0.2,0.26,0.65,0.65,0.83,1.68,20.44,0,20.44,20.44,20.44,20.44,20.44
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.15,0.26,0.3,0.3,0.4,1.68,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.19,0.16,0,0.35,0.35,0.36,0.62,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-e70c003d770386e0f2030eab49eb59c274165cd14d16ffcb4f47a942198e8ee8.css,,,100,0,0,,100,0.93,0.24,0.78,0.93,1.12,1.17,2.78,123.7,0,123.7,123.7,123.7,123.7,123.7
"",,,,,Sending,,100,0,0,,0,0.29,0.09,0.25,0.28,0.28,0.28,1.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.02,0.26,0.3,0.3,0.31,0.42,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.36,0.21,0.2,0.39,0.53,0.63,2.06,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,4) http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/products/ruby-on-rails-tote?taxon_id=3,,,,100,0,0,100,1000,5.33,0.42,4.7,5.85,5.87,5.98,6.61,430.87,0,430.87,430.87,430.87,430.87,430.87
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/21/product/ror_tote.jpeg?1450727464,,,100,0,0,,100,0.34,0.11,0.26,0.56,0.56,0.57,0.58,16.91,0,16.91,16.91,16.91,16.91,16.91
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.01,0.26,0.29,0.29,0.29,0.33,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.06,0.11,0,0.28,0.28,0.28,0.31,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree_header-198b754a34f1428c25f64303be8ac2aae84a076433af18ca55b65d7cbf1a0e13.jpg,,,100,0,0,,100,0.87,0.14,0.78,0.89,0.89,1.1,1.83,58.8,0,58.8,58.8,58.8,58.8,58.8
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.02,0.26,0.28,0.28,0.29,0.42,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.59,0.13,0.52,0.6,0.62,0.82,1.56,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/21/mini/ror_tote.jpeg?1450727464,,,100,0,0,,100,0.28,0.03,0.26,0.3,0.3,0.3,0.5,1.69,0,1.69,1.69,1.69,1.69,1.69
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.26,0.29,0.29,0.29,0.49,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-f790e2c4168dc64d4a5814841899776880357feb9be7f36586c037358c370598.js,,,100,0,0,,100,1.21,0.08,0.92,1.3,1.34,1.46,1.58,181.45,0,181.45,181.45,181.45,181.45,181.45
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.01,0.27,0.3,0.3,0.31,0.4,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.92,0.08,0.62,1,1.07,1.16,1.27,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/products/ruby-on-rails-tote?taxon_id=3,,,100,0,0,,100,0.36,0.12,0.3,0.35,0.36,0.45,1.46,8.85,0,8.85,8.85,8.85,8.85,8.85
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.33,0.03,0.3,0.34,0.35,0.44,0.47,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.03,0.12,0,0.01,0.01,0.02,1.11,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart_link,,,100,0,0,,100,0.3,0.02,0.27,0.31,0.32,0.32,0.41,0.14,0,0.14,0.14,0.14,0.14,0.14
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.02,0.27,0.3,0.31,0.32,0.38,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0,0.01,0.01,0.1,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,,,100,0,0,,100,0.31,0.09,0.26,0.31,0.33,0.55,0.74,17.61,0,17.61,17.61,17.61,17.61,17.61
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.04,0.26,0.28,0.29,0.3,0.61,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.03,0.08,0,0.03,0.04,0.28,0.45,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/logo/spree_50-1c7335be355d4672a35c5023956d0c883f254831f3e3dae3f2ca05976ceb5e50.png,,,100,0,0,,100,0.44,0.14,0.27,0.58,0.58,0.58,0.67,20.44,0,20.44,20.44,20.44,20.44,20.44
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.04,0.25,0.28,0.29,0.29,0.62,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.16,0.14,0,0.3,0.3,0.3,0.36,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/22/mini/ror_tote_back.jpeg?1450727465,,,100,0,0,,100,0.28,0.03,0.26,0.29,0.29,0.3,0.57,1.29,0,1.29,1.29,1.29,1.29,1.29
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.01,0.26,0.28,0.28,0.29,0.33,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0.02,0,0,0.01,0.01,0.25,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-e70c003d770386e0f2030eab49eb59c274165cd14d16ffcb4f47a942198e8ee8.css,,,100,0,0,,100,0.89,0.12,0.81,0.91,0.93,1.02,2,123.7,0,123.7,123.7,123.7,123.7,123.7
"",,,,,Sending,,100,0,0,,0,0.28,0.01,0.26,0.29,0.29,0.29,0.34,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.14,0.26,0.29,0.3,0.3,1.71,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.31,0.05,0,0.33,0.34,0.36,0.52,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,5) http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/orders/populate,,,,100,0,0,100,1000,6.05,0.42,5.34,6.38,6.6,6.61,7.59,424.32,0,424.31,424.32,424.32,424.32,424.32
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/orders/populate,,,100,0,0,,100,0.7,0.1,0.62,0.76,0.8,0.83,1.19,0.13,0,0.13,0.13,0.13,0.13,0.13
"",,,,,Sending,,100,0,0,,0,0.28,0.04,0.25,0.28,0.28,0.28,0.69,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.41,0.08,0.36,0.44,0.46,0.53,0.82,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.04,0,0.01,0.01,0.1,0.36,0,0,0,0,0,0,0
"",,,,,,302,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree_header-198b754a34f1428c25f64303be8ac2aae84a076433af18ca55b65d7cbf1a0e13.jpg,,,100,0,0,,100,0.87,0.09,0.78,0.91,0.92,0.99,1.22,58.8,0,58.8,58.8,58.8,58.8,58.8
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.26,0.29,0.29,0.29,0.58,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.59,0.08,0.52,0.63,0.63,0.72,0.88,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/21/small/ror_tote.jpeg?1450727464,,,100,0,0,,100,0.28,0.04,0.26,0.29,0.29,0.29,0.63,4.54,0,4.54,4.54,4.54,4.54,4.54
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.04,0.26,0.28,0.29,0.29,0.63,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0.01,0,0,0,0.01,0.08,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-f790e2c4168dc64d4a5814841899776880357feb9be7f36586c037358c370598.js,,,100,0,0,,100,1.22,0.07,1.1,1.28,1.29,1.3,1.63,181.45,0,181.45,181.45,181.45,181.45,181.45
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.01,0.28,0.31,0.31,0.31,0.35,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.92,0.07,0.82,0.98,0.98,1,1.32,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/34/small/ruby_baseball.png?1450727469,,,100,0,0,,100,0.29,0.04,0.26,0.3,0.3,0.31,0.55,10.48,0,10.48,10.48,10.48,10.48,10.48
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.27,0.01,0.26,0.28,0.29,0.29,0.32,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.04,0,0.02,0.02,0.02,0.27,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart,,,100,0,0,,100,0.63,0.04,0.58,0.67,0.69,0.72,0.79,7.03,0,7.03,7.03,7.03,7.03,7.03
"",,,,,Sending,,100,0,0,,0,0.28,0.02,0.26,0.28,0.29,0.29,0.36,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.34,0.03,0.32,0.38,0.43,0.44,0.49,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0.01,0.02,0.02,0.05,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart_link,,,100,0,0,,100,0.32,0.15,0.28,0.31,0.32,0.33,1.82,0.14,0,0.14,0.14,0.14,0.14,0.14
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.31,0.15,0.27,0.3,0.3,0.32,1.82,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0,0.01,0.04,0.09,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,,,100,0,0,,100,0.36,0.13,0.27,0.34,0.44,0.53,0.86,17.61,0,17.61,17.61,17.61,17.61,17.61
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.02,0.26,0.29,0.29,0.31,0.44,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.08,0.13,0,0.02,0.06,0.26,0.58,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/logo/spree_50-1c7335be355d4672a35c5023956d0c883f254831f3e3dae3f2ca05976ceb5e50.png,,,100,0,0,,100,0.45,0.14,0.26,0.56,0.58,0.6,0.81,20.44,0,20.44,20.44,20.44,20.44,20.44
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.26,0.28,0.28,0.29,0.46,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.16,0.14,0,0.28,0.3,0.32,0.54,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-e70c003d770386e0f2030eab49eb59c274165cd14d16ffcb4f47a942198e8ee8.css,,,100,0,0,,100,0.91,0.11,0.81,1.07,1.15,1.37,1.4,123.7,0,123.7,123.7,123.7,123.7,123.7
"",,,,,Sending,,100,0,0,,0,0.28,0.02,0.26,0.28,0.28,0.3,0.46,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.29,0.01,0.27,0.29,0.3,0.31,0.33,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.34,0.11,0.26,0.51,0.62,0.81,0.85,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,6) http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart,,,,100,0,0,100,900,6.14,0.55,5.2,7.18,7.48,7.49,7.73,424.19,0,424.19,424.19,424.19,424.19,424.19
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree_header-198b754a34f1428c25f64303be8ac2aae84a076433af18ca55b65d7cbf1a0e13.jpg,,,100,0,0,,100,1.14,0.19,0.78,1.36,1.39,1.48,1.65,58.8,0,58.8,58.8,58.8,58.8,58.8
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.27,0.01,0.25,0.28,0.28,0.28,0.32,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.86,0.19,0.53,1.09,1.11,1.19,1.38,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/21/small/ror_tote.jpeg?1450727464,,,100,0,0,,100,0.31,0.09,0.26,0.42,0.57,0.59,0.68,4.54,0,4.54,4.54,4.54,4.54,4.54
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.27,0.01,0.25,0.28,0.29,0.3,0.32,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.03,0.09,0,0.1,0.27,0.31,0.42,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-f790e2c4168dc64d4a5814841899776880357feb9be7f36586c037358c370598.js,,,100,0,0,,100,1.26,0.18,1.09,1.53,1.53,1.8,2.09,181.45,0,181.45,181.45,181.45,181.45,181.45
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.01,0.27,0.31,0.31,0.33,0.35,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.96,0.17,0.81,1.23,1.24,1.49,1.75,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/34/small/ruby_baseball.png?1450727469,,,100,0,0,,100,0.29,0.08,0.26,0.3,0.31,0.36,1.04,10.48,0,10.48,10.48,10.48,10.48,10.48
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.07,0.25,0.29,0.29,0.3,0.97,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0,0.01,0,0.01,0.01,0.06,0.07,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart,,,100,0,0,,100,0.63,0.04,0.58,0.65,0.68,0.69,0.83,7.03,0,7.03,7.03,7.03,7.03,7.03
"",,,,,Sending,,100,0,0,,0,0.28,0.01,0.26,0.29,0.29,0.29,0.33,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.34,0.02,0.32,0.35,0.36,0.36,0.44,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.02,0,0.02,0.02,0.05,0.22,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/bootstrap/glyphicons-halflings-regular-fe185d11a49676890d47bb783312a0cda5a44c4039214094e7957b4c040ef11c.woff2,,,100,0,0,,100,0.85,0.09,0.78,0.87,0.87,1.22,1.28,17.61,0,17.61,17.61,17.61,17.61,17.61
"",,,,,Sending,,100,0,0,,0,0.27,0.01,0.25,0.28,0.29,0.29,0.3,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.03,0.26,0.28,0.3,0.44,0.55,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.29,0.1,0.02,0.31,0.32,0.66,0.76,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/cart_link,,,100,0,0,,100,0.31,0.06,0.28,0.33,0.36,0.36,0.87,0.14,0,0.14,0.14,0.14,0.14,0.14
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.3,0.06,0.27,0.32,0.35,0.35,0.86,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0.01,0.01,0.01,0.09,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/logo/spree_50-1c7335be355d4672a35c5023956d0c883f254831f3e3dae3f2ca05976ceb5e50.png,,,100,0,0,,100,0.44,0.15,0.26,0.59,0.6,0.61,0.98,20.44,0,20.44,20.44,20.44,20.44,20.44
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.07,0.25,0.28,0.29,0.29,0.95,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.16,0.14,0,0.3,0.3,0.32,0.38,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/assets/spree/frontend/all-e70c003d770386e0f2030eab49eb59c274165cd14d16ffcb4f47a942198e8ee8.css,,,100,0,0,,100,0.89,0.1,0.79,0.96,0.99,1.02,1.45,123.7,0,123.7,123.7,123.7,123.7,123.7
"",,,,,Sending,,100,0,0,,0,0.28,0.02,0.25,0.3,0.32,0.37,0.45,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.02,0.26,0.3,0.31,0.31,0.38,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.33,0.09,0.27,0.32,0.33,0.34,0.92,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,7) http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/products,,,,100,0,0,100,1900,7.92,0.74,6.96,8.4,8.47,8.76,11.09,471.53,0,471.53,471.53,471.53,471.53,471.53
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/35/small/spree_bag.jpeg?1450727470,,,100,0,0,,100,0.28,0.05,0.26,0.28,0.29,0.3,0.74,4.27,0,4.27,4.27,4.27,4.27,4.27
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.02,0.25,0.28,0.28,0.28,0.44,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.03,0,0.01,0.01,0.01,0.3,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/33/small/apache_baseball.png?1450727469,,,100,0,0,,100,0.29,0.04,0.26,0.29,0.3,0.31,0.63,8.99,0,8.99,8.99,8.99,8.99,8.99
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.27,0.01,0.25,0.28,0.29,0.29,0.34,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.04,0,0.01,0.01,0.01,0.29,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/36/small/spree_tote_front.jpeg?1450727471,,,100,0,0,,100,0.28,0.02,0.26,0.29,0.32,0.33,0.38,3.66,0,3.66,3.66,3.66,3.66,3.66
"",,,,,Sending,,100,0,0,,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"",,,,,Waiting,,100,0,0,,0,0.28,0.01,0.25,0.28,0.28,0.31,0.33,0,0,0,0,0,0,0
"",,,,,Receiving,,100,0,0,,0,0.01,0.01,0,0.01,0.02,0.02,0.09,0,0,0,0,0,0,0
"",,,,,,200,100,0,0,,100,,,,,,,,,,,,,,
"",,,,http://ec2-52-88-124-145.us-west-2.compute.amazonaws.com:8888/spree/products/38/small/spree_ringer_t.jpeg?1450727472,,,100,0,0,,100,0.29,0.05,0.26,0.28,0.29,0.29,0.74,2.66,0,2.66,2.66,2.66,2.66,2.66
